kwhTotal,startTime,endTime,chargeTimeHrs,created_day,created_month,kwh_per_hour,weekday_Mon,weekday_Sat,weekday_Sun,weekday_Thu,weekday_Tue,weekday_Wed,startPeriod_Evening,startPeriod_Morning,startPeriod_Night,endPeriod_Evening,endPeriod_Morning,endPeriod_Night
6.79,17,20,2.981388889,0,6,2.2774620328975135,0,0,0,0,1,0,0,0,0,1,0,0
0.629999999999999,16,17,0.208888889,1,6,3.0159574452042732,0,0,0,0,0,1,0,0,0,0,0,0
4.96,17,20,3.185277778,1,6,1.5571640358205519,0,0,0,0,0,1,0,0,0,1,0,0
3.87,14,17,2.426111111,2,6,1.5951454088204784,0,0,0,1,0,0,0,0,0,0,0,0
6.67,12,16,3.805,4,6,1.7529566360052562,0,0,0,0,0,0,0,0,0,0,0,0
6.63,17,20,3.613333333,0,6,1.8348708488777556,1,0,0,0,0,0,0,0,0,1,0,0
3.72,11,15,4.049444444,2,6,0.9186445329585562,0,0,0,0,1,0,0,1,0,0,0,0
4.37,17,21,3.788888889,3,6,1.153372433983772,0,0,0,0,0,1,0,0,0,1,0,0
6.78,13,15,2.585,4,6,2.6228239845261125,0,0,0,1,0,0,0,0,0,0,0,0
6.21,16,18,2.127777778,5,6,2.918537858703025,0,0,0,0,0,0,0,0,0,1,0,0
4.45,15,17,2.473611111,2,6,1.7989893319168553,1,0,0,0,0,0,0,0,0,0,0,0
4.59,17,20,3.652777778,3,6,1.256577946691615,0,0,0,0,1,0,0,0,0,1,0,0
7.39,17,20,2.544444444,5,6,2.9043668127343873,0,0,0,0,0,1,0,0,0,1,0,0
3.84,11,15,3.805277778,6,6,1.0091247535727206,0,0,0,1,0,0,0,1,0,0,0,0
3.48,18,19,1.244722222,0,7,2.795804508421478,1,0,0,0,0,0,1,0,0,1,0,0
4.38,13,16,2.551944444,1,7,1.7163383044243106,0,0,0,0,1,0,0,0,0,0,0,0
4.92,16,18,2.144722222,2,7,2.2940033676771407,0,0,0,0,0,1,0,0,0,1,0,0
4.72,16,20,3.881388889,4,7,1.2160595433703267,0,0,0,1,0,0,0,0,0,1,0,0
6.5,17,19,2.665833333,5,7,2.438261957166397,0,0,0,0,0,0,0,0,0,1,0,0
4.08,14,16,1.468333333,2,7,2.778660613570638,1,0,0,0,0,0,0,0,0,0,0,0
0.76,16,16,0.263611111,3,7,2.8830347746609206,0,0,0,0,1,0,0,0,0,0,0,0
4.6,16,20,3.771666667,3,7,1.2196199733787343,0,0,0,0,1,0,0,0,0,1,0,0
4.35,16,20,3.986944444,4,7,1.0910611023302235,0,0,0,0,0,1,0,0,0,1,0,0
5.25,12,14,2.526388889,5,7,2.0780648707167426,0,0,0,1,0,0,0,0,0,0,0,0
4.14,18,20,2.178888889,5,7,1.900050994293725,0,0,0,1,0,0,1,0,0,1,0,0
6.59,16,20,3.727222222,0,7,1.7680727382183976,0,0,0,0,0,0,0,0,0,1,0,0
7.11,17,19,2.335277778,3,7,3.0446056854483543,1,0,0,0,0,0,0,0,0,1,0,0
4.17,16,17,1.356388889,5,7,3.074339545109618,0,0,0,0,1,0,0,0,0,0,0,0
4.77,17,20,2.771666667,0,7,1.720986169366087,0,0,0,1,0,0,0,0,0,1,0,0
7.47,17,20,3.498055556,4,8,2.13547208739643,1,0,0,0,0,0,0,0,0,1,0,0
5.64,14,17,3.431388889,6,8,1.6436493159024155,0,0,0,0,1,0,0,0,0,0,0,0
4.0,16,18,2.575555556,0,8,1.5530629850641824,0,0,0,0,0,1,0,0,0,1,0,0
3.93,11,15,3.980555556,1,8,0.9872993718367287,0,0,0,1,0,0,0,1,0,0,0,0
7.01,17,20,3.440555556,1,8,2.0374616499870872,0,0,0,1,0,0,0,0,0,1,0,0
6.4,12,16,3.618611111,2,8,1.7686343748144204,0,0,0,0,0,0,0,0,0,0,0,0
1.02,16,20,4.056944444,2,8,0.25142074634729705,0,0,0,0,0,0,0,0,0,1,0,0
7.12,16,20,3.983611111,6,8,1.7873230598085859,1,0,0,0,0,0,0,0,0,1,0,0
1.2,15,15,0.401388889,2,8,2.989619376335053,0,0,0,0,0,1,0,0,0,0,0,0
3.01,15,16,0.989444444,2,8,3.042111174864508,0,0,0,0,0,1,0,0,0,0,0,0
3.79,11,13,2.571944444,3,8,1.4735932608659412,0,0,0,1,0,0,0,1,0,0,0,0
7.29,17,20,3.592777778,3,8,2.029070666334989,0,0,0,1,0,0,0,0,0,1,0,0
6.56,12,16,3.5325,4,8,1.8570417551309268,0,0,0,0,0,0,0,0,0,0,0,0
1.81,16,20,3.805555556,4,8,0.4756204379006575,0,0,0,0,0,0,0,0,0,1,0,0
4.6,17,20,3.796388889,1,8,1.2116777639215137,1,0,0,0,0,0,0,0,0,1,0,0
4.16,17,20,3.208333333,2,8,1.2966233767580908,0,0,0,0,1,0,0,0,0,1,0,0
5.47,13,16,3.293888889,3,8,1.6606510372183958,0,0,0,0,0,1,0,0,0,0,0,0
1.38,16,20,3.680555556,3,8,0.3749433961811389,0,0,0,0,0,1,0,0,0,1,0,0
4.3,11,14,3.47,5,8,1.239193083573487,0,0,0,1,0,0,0,1,0,0,0,0
6.13,17,20,2.751388889,5,8,2.2279656738120965,0,0,0,1,0,0,0,0,0,1,0,0
5.88,15,17,1.890555556,6,8,3.110196884370215,0,0,0,0,0,0,0,0,0,0,0,0
5.16,17,20,2.881111111,3,8,1.790975703887041,1,0,0,0,0,0,0,0,0,1,0,0
6.66,14,17,3.178055556,4,8,2.0956210118562195,0,0,0,0,1,0,0,0,0,0,0,0
0.629999999999999,17,19,1.846111111,4,8,0.3412578995089527,0,0,0,0,1,0,0,0,0,1,0,0
